mes,linea,ramal,estacion,latitud,longitud
12/2018,Urquiza,Lemos,Tropezón,-34.591953,-58.559179
12/2018,Urquiza,Lemos,"Teniente Agneta",-34.5488,-58.678850
12/2018,Urquiza,Lemos,"Sargento Cabral",-34.537187,-58.694932
12/2018,Urquiza,Lemos,"Sargento Barrufaldi",-34.562450,-58.660275
12/2018,Urquiza,Lemos,"Rubén Darío",-34.587484,-58.631454
12/2018,Urquiza,Lemos,"Pedro Arata",-34.592420,-58.474807
12/2018,Urquiza,Lemos,"Pablo Podestá",-34.588320,-58.608154
12/2018,Urquiza,Lemos,"Martín Coronado",-34.588979,-58.590732
12/2018,Urquiza,Lemos,Lourdes,-34.593833,-58.546748
12/2018,Urquiza,Lemos,"Juan B. de La Salle",-34.573531,-58.645364
12/2018,Urquiza,Lemos,"José María Bosch",-34.590027,-58.571826
12/2018,Urquiza,Lemos,"José Artigas",-34.590031,-58.466273
12/2018,Urquiza,Lemos,"Jorge Newbery",-34.587821,-58.621874
12/2018,Urquiza,Lemos,"General Lemos",-34.532911,-58.700836
12/2018,Urquiza,Lemos,"Fernández Moreno",-34.595587,-58.535161
12/2018,Urquiza,Lemos,"Federico Lacroze",-34.586715,-58.455586
12/2018,Urquiza,Lemos,"El Libertador",-34.594331,-58.502336
12/2018,Urquiza,Lemos,"Ejército de los Andes",-34.579816,-58.640471
12/2018,Urquiza,Lemos,"Dr. Francisco Beiró",-34.593146,-58.494176
12/2018,Urquiza,Lemos,"Coronel F. Lynch",-34.597257,-58.524007
12/2018,Urquiza,Lemos,"Capitán Lozano",-34.555573,-58.669500
12/2018,Urquiza,Lemos,"Campo de Mayo",-34.543701,-58.685902
12/2018,Urquiza,Lemos,"Antonio Devoto",-34.595597,-58.510477
12/2018,"Trenes del Interior",Resistencia,Tapenaga,-27.565176,-59.661873
12/2018,"Trenes del Interior",Resistencia,Resistencia,,
12/2018,"Trenes del Interior",Resistencia,"Los Amores",-28.101568,-59.980448
12/2018,"Trenes del Interior",Resistencia,"La Vicuña",-27.977519,-59.978320
12/2018,"Trenes del Interior",Resistencia,"La Sabana",-27.870767,-59.938856
12/2018,"Trenes del Interior",Resistencia,"Gral. Obligado",-27.410850,-59.418957
12/2018,"Trenes del Interior",Resistencia,"Gral. Dónovan",-27.385383,-59.109631
12/2018,"Trenes del Interior",Resistencia,"Fortín Cardozo",-27.408981,-59.233644
12/2018,"Trenes del Interior",Resistencia,"Desvío Km 535",-27.396555,-59.177717
12/2018,"Trenes del Interior",Resistencia,"Desvío Km 523",-27.413635,-59.288140
12/2018,"Trenes del Interior",Resistencia,"Desvío Km 519",-27.412629,-59.336663
12/2018,"Trenes del Interior",Resistencia,"Desvío Km 474",-27.585248,-59.708440
12/2018,"Trenes del Interior",Resistencia,"Desvío Km 433",-27.774982,-59.906012
12/2018,"Trenes del Interior",Resistencia,"Cote Lai",-27.527297,-59.574233
12/2018,"Trenes del Interior",Resistencia,Charadai,-27.650711,-59.860609
12/2018,"Trenes del Interior",Resistencia,Cacuí,-27.415290,-59.045165
12/2018,"Trenes del Interior",Resistencia,"Ap. Km 501",-27.458379,-59.491258
12/2018,"Trenes del Interior",Resistencia,"Ap. Alberdi",-27.454849,-58.991095
12/2018,"Trenes del Interior",Regionales,Salta,-24.777112,-65.411309
12/2018,"Trenes del Interior",Regionales,Mojotoro,-24.709389,-65.286566
12/2018,"Trenes del Interior",Regionales,"General Güemes",-24.672938,-65.044087
12/2018,"Trenes del Interior",Regionales,"El Bordo",-24.664116,-65.101899
12/2018,"Trenes del Interior",Regionales,Betania,-24.684619,-65.148257
12/2018,"Trenes del Interior",Regionales,"Batalla de Salta",-24.741228,-65.396065
12/2018,"Trenes del Interior","Puerto Vilelas","SILVANO DANTE",-27.469680,-58.974344
12/2018,"Trenes del Interior","Puerto Vilelas",SAUCE,-27.488230,-58.953367
12/2018,"Trenes del Interior","Puerto Vilelas",SARMIENTO,-27.421170,-59.035217
12/2018,"Trenes del Interior","Puerto Vilelas","San Martín",-27.459504,-58.985833
12/2018,"Trenes del Interior","Puerto Vilelas","S.D. CORDOBA",-27.431941,-59.017022
12/2018,"Trenes del Interior","Puerto Vilelas","Resistencia ",-27.464326,-58.980367
12/2018,"Trenes del Interior","Puerto Vilelas","PUERTO VILELAS",-27.512990,-58.941164
12/2018,"Trenes del Interior","Puerto Vilelas","PUERTO TIROL",-27.373950,-59.089248
12/2018,"Trenes del Interior","Puerto Vilelas",MOSCONI,-27.500041,-58.939989
12/2018,"Trenes del Interior","Puerto Vilelas","LOS AROMOS",-27.383763,-59.091366
12/2018,"Trenes del Interior","Puerto Vilelas",HERNANDARIAS,-27.448455,-58.998337
12/2018,"Trenes del Interior","Puerto Vilelas",GUSBERTI,-27.479847,-58.962854
12/2018,"Trenes del Interior","Puerto Vilelas","General Güemes",-27.424359,-59.029403
12/2018,"Trenes del Interior","Puerto Vilelas","FRAY ROSSI",-27.443625,-59.003798
12/2018,"Trenes del Interior","Puerto Vilelas","CQUE. PELAYO",-27.426973,-59.023635
12/2018,"Trenes del Interior","Puerto Vilelas",COCOMAROLA,-27.477053,-58.966015
12/2018,"Trenes del Interior","Puerto Vilelas","CALLE 11",-27.440325,-59.007532
12/2018,"Trenes del Interior","Puerto Vilelas",Cacuí,-27.415421,-59.044869
12/2018,"Trenes del Interior","Puerto Vilelas",BRASIL,-27.417402,-59.040321
12/2018,"Trenes del Interior","Puerto Vilelas",BOUVIER,-27.475401,-58.967883
12/2018,"Trenes del Interior","Puerto Vilelas",BELGRANO,-27.451756,-58.994600
12/2018,"Trenes del Interior","Puerto Vilelas",ANUNCIACION,-27.419519,-59.037082
12/2018,"Trenes del Interior","Puerto Vilelas",ALGARROBO,-27.491404,-58.949769
12/2018,"Trenes del Interior","Puerto Vilelas",ALBERDI,-27.454933,-58.991001
12/2018,"Trenes del Interior","Puerto Vilelas",ABORIGEN,-27.389487,-59.084905
12/2018,"Trenes del Interior",Neuquén,"NQN Cargas",-38.955436,-68.164667
12/2018,"Trenes del Interior",Neuquén,Neuquen,-38.955961,-68.056860
12/2018,"Trenes del Interior",Neuquén,Cipolletti,-38.942032,-67.996028
12/2018,"Trenes del Interior","Entre Ríos","Ramón Parera",-31.752568,-60.448821
12/2018,"Trenes del Interior","Entre Ríos",Paraná,-31.742146,-60.532263
12/2018,"Trenes del Interior","Entre Ríos","La Picada",-31.725594,-60.293136
12/2018,"Trenes del Interior","Entre Ríos","Colonia Avellaneda",-31.756161,-60.409184
12/2018,"Trenes del Interior","Entre Ríos","Ap. Div de los andes",-31.764211,-60.516040
12/2018,"Trenes del Interior","Entre Ríos","Ap Salv. Caputto",-31.769652,-60.482942
12/2018,"Trenes del Interior","Entre Ríos","Ap Miguel David",-31.768517,-60.512554
12/2018,"Trenes del Interior","Entre Ríos","Ap Las Garzas",-31.773414,-60.504199
12/2018,"Trenes del Interior","Entre Ríos","Ap Gdor. Parera",-31.772039,-60.495354
12/2018,"Trenes del Interior","Entre Ríos","Ap Gdor. Maya",-31.751939,-60.454567
12/2018,"Trenes del Interior","Entre Ríos","Ap F. Ramirez",-31.758356,-60.520636
12/2018,"Trenes del Interior","Entre Ríos","Ap E. Berdúc",-31.727993,-60.303008
12/2018,"Trenes del Interior",Córdoba,"Villa María",-32.412450,-63.244872
12/2018,"Trenes del Interior",Córdoba,Toledo,-31.556189,-64.009488
12/2018,"Trenes del Interior",Córdoba,"Tio Pujio",-32.287932,-63.354898
12/2018,"Trenes del Interior",Córdoba,"Río Segundo",-31.653744,-63.910384
12/2018,"Trenes del Interior",Córdoba,Pilar,-31.682598,-63.88529
12/2018,"Trenes del Interior",Córdoba,Oncativo,-31.911760,-63.685212
12/2018,"Trenes del Interior",Córdoba,Oliva,-32.041476,-63.571509
12/2018,"Trenes del Interior",Córdoba,Manfredi,-31.842975,-63.745394
12/2018,"Trenes del Interior",Córdoba,"Laguna Larga",-31.777300,-63.802725
12/2018,"Trenes del Interior",Córdoba,"James Craik",-32.164472,-63.463593
12/2018,"Trenes del Interior",Córdoba,Córdoba,-31.420406,-64.174938
12/2018,"Trenes del Interior",Chorotis,Zuberbuhler,-27.715486,-61.36511
12/2018,"Trenes del Interior",Chorotis,"Venados Grandes",-27.816172,-61.382146
12/2018,"Trenes del Interior",Chorotis,"Roque Sáenz Peña",-26.794485,-60.441517
12/2018,"Trenes del Interior",Chorotis,"Pozo del Indio",-27.01282,-61.018319
12/2018,"Trenes del Interior",Chorotis,"Pampa del Cielo",-27.643335,-61.352920
12/2018,"Trenes del Interior",Chorotis,Napenay,-26.731725,-60.618859
12/2018,"Trenes del Interior",Chorotis,"Las Breñas",-27.089828,-61.084285
12/2018,"Trenes del Interior",Chorotis,"La Mascota",-26.758323,-60.543446
12/2018,"Trenes del Interior",Chorotis,Itin,-27.486747,-61.326677
12/2018,"Trenes del Interior",Chorotis,"Hermoso Campo",-27.610276,-61.347379
12/2018,"Trenes del Interior",Chorotis,"Gral. Pinedo",-27.317973,-61.280429
12/2018,"Trenes del Interior",Chorotis,"Fortín Las Chuñas",-26.884157,-60.908642
12/2018,"Trenes del Interior",Chorotis,Corzuela,-26.955942,-60.969664
